id,first_name,last_name,banner,photo,university,dept,blurb,hidden
196,Abra,Matusiak,WBateman95.jpeg,128-23.jpg,University of Nottingham,Media and Creative Cultures,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,reintermediate front-end supply-chains
27,Adi,Murrock,matildealiffi.jpeg,128-37.jpg,University of Birmingham,Classics & Ancient History,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,synthesize dot-com convergence
154,Aeriela,Boissieux,norabattermann.jpeg,128-27.jpg,University of Birmingham,American Studies,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,expedite mission-critical paradigms
291,Afton,McTavy,Completelybatty.jpeg,128-27.jpg,Nottingham Trent University,Classics and Archaeology,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,revolutionize visionary metrics
274,Agnola,Fleg,suezelenybishop.jpeg,128-21.jpg,De Montfort University,English,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,streamline B2C infomediaries
331,Ailina,Cowx,Completelybatty.jpeg,128-6.jpg,University of Nottingham,Law,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,monetize 24/365 e-services
84,Alair,Tyson,norabattermann.jpeg,128-41.jpg,University of Nottingham,Classics & Ancient History,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,utilize holistic portals
28,Alane,Surplice,shahmima_akhtar.jpeg,128-10.jpg,Coventry University,Law,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,benchmark proactive synergies
217,Aldrich,Dipple,lindseyhelenana.jpeg,128-9.jpg,University of Nottingham,Political Science and International Relations,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,deliver open-source e-tailers
23,Alejandro,Kusick,JamesAitcheson.jpeg,128-29.jpg,University of Nottingham,Classics and Archaeology,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,seize visionary systems
70,Alford,Scrafton,livias-garden-room.jpg,128-18.jpg,University of Nottingham,Philosophy,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,evolve proactive experiences
309,Alfreda,Flatt,WBateman95.jpeg,128-36.jpg,University of Nottingham,Political Science and International Relations,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,redefine 24/7 initiatives
241,Algernon,Le Marchant,livias-garden-room.jpg,128-29.jpg,University of Warwick,Philosophy,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,incubate cross-platform portals
106,Alix,Rampley,natashakbailey.jpeg,128-38.jpg,University of Nottingham,English,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,transform transparent portals
121,Allyn,Durand,matildealiffi.jpeg,128-27.jpg,University of Birmingham,History,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,streamline end-to-end action-items
145,Alric,Marzellano,fedebng.jpeg,128-28.jpg,University of Leicester,English,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,iterate leading-edge experiences
85,Amii,Hankin,khyamallami.jpeg,128-46.jpg,University of Birmingham,History,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,generate collaborative models
276,Analiese,Brookhouse,betti_bodi.jpeg,128-47.jpg,University of Birmingham,Classics & Ancient History,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,e-enable global e-business
334,Anastassia,MacVicar,paulstephenadey.jpeg,128-21.jpg,Coventry University,Zooarchaeology,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,enable efficient e-markets
80,Andra,Parlatt,norabattermann.jpeg,128-3.jpg,Birmingham City University,Zooarchaeology,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,transform vertical systems
222,Andree,Iacopini,Completelybatty.jpeg,128-45.jpg,University of Nottingham,Classics & Ancient History,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,transition B2B web-readiness
176,Angele,Hollows,natashakbailey.jpeg,128-16.jpg,University of Leicester,Political Science and International Relations,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,innovate strategic networks
367,Annamaria,Edghinn,shahmima_akhtar.jpeg,128-16.jpg,Nottingham Trent University,Media and Creative Cultures,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,visualize out-of-the-box architectures
20,Archy,Shillingford,chloeashbridge.jpeg,128-18.jpg,Coventry University,Philosophy,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,optimize end-to-end networks
86,Arlen,Tukely,suezelenybishop.jpeg,128-31.jpg,University of Warwick,Classics and Archaeology,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,generate next-generation convergence
